flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours,airline_code,departure_airport_code,arrival_airport_code,flight_date,flight_time,flight_distance,passenger_capacity,ticket_price,flight_status,gate_number
WN2160,Southwest Airlines,Los Angeles International,Sanhe,China,6:02 PM,John F. Kennedy International,Darovskoy,Russia,17,WN,CSB,ROB,9/10/2022,6:27 AM,9968.44,492,475.69,On Time,C1
QF2874,Qantas,Sydney Airport,Landim,Portugal,2:29 PM,Melbourne Airport,Jamalteca,Honduras,7,QF,PYA,OAZ,7/10/2022,7:21 AM,7327.07,362,273.09,On Time,C2
SK9881,SAS Scandinavian,Copenhagen Airport,Shënmëri,Albania,3:22 PM,Charles de Gaulle,Zhongfeng,China,8,SK,COC,NLN,10/29/2022,11:09 PM,9301.21,191,497.79,On Time,A2
KL5799,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Cabeço de Vide,Portugal,6:40 PM,Munich Airport,Kadyy,Russia,2,KL,LVS,MTE,9/23/2022,3:44 AM,9195.5,95,243.48,On Time,A3
NH2322,All Nippon Airways,Haneda,Darłowo,Poland,4:37 AM,Incheon International,Itambé,Brazil,22,NH,JNA,YYM,2/19/2022,5:19 AM,3958.12,324,224.91,On Time,A1
SK1423,SAS Scandinavian,Copenhagen Airport,Senada,Morocco,4:27 PM,Charles de Gaulle,Anyar,Indonesia,20,SK,PIO,LAS,7/27/2022,6:50 AM,9692.51,182,227.81,On Time,B2
AI5177,Air India,Indira Gandhi International,Vicente Guerrero,Mexico,9:11 PM,Chhatrapati Shivaji International,Gambalidio,Philippines,7,AI,YGG,GBZ,3/17/2022,2:24 PM,8217.07,399,262.48,On Time,B1
SK4327,SAS Scandinavian,Copenhagen Airport,Palaiseau,France,7:02 AM,Charles de Gaulle,Bassar,Togo,14,SK,XQU,EJT,5/6/2022,7:42 PM,1295.67,98,335.94,Delayed,A3
AV5645,Avianca,El Dorado International,la Massana,Andorra,12:41 AM,O'Hare International,Siaton,Philippines,5,AV,MKS,YKF,2/17/2022,11:51 PM,9784.39,191,271.72,On Time,B1
NZ7644,Air New Zealand,Auckland Airport,Rurrenabaque,Bolivia,11:40 PM,Sydney Airport,Psygansu,Russia,6,NZ,KAP,NSV,4/26/2022,1:43 PM,7294.15,172,219.88,On Time,B1
